18432
volume peso recompensa duração(s)
3 28 849 527 
28 23 1501 1089 
16 26 1582 797 
23 29 758 345 
21 17 1401 249 
27 22 992 922 
3 2 1327 966 
21 24 1716 650 
14 15 881 127 
29 26 1934 989 
21 22 1486 109 
21 24 499 330 
10 14 422 1057 
27 19 1314 1051 
21 23 1314 837 
9 19 1983 533 
3 18 527 1007 
13 29 1887 164 
12 3 759 971 
27 9 1675 206 
14 29 1859 252 
18 28 1396 383 
21 24 1487 264 
12 18 893 671 
27 19 822 318 
9 27 433 771 
29 25 582 666 
25 9 270 611 
30 18 211 123 
8 2 1413 1061 
17 9 561 993 
18 5 1801 367 
23 16 1025 478 
12 16 558 108 
10 17 1465 357 
18 3 1798 427 
13 6 1110 798 
29 2 373 740 
2 18 203 1091 
22 23 1366 449 
9 15 1365 1010 
22 23 1590 182 
2 11 760 290 
5 2 1634 270 
7 21 1513 664 
14 6 1867 363 
15 10 1153 669 
2 18 1619 215 
2 22 743 1001 
7 13 750 1097 
15 5 308 1034 
28 22 853 967 
4 4 702 332 
9 6 1050 664 
15 1 1566 1028 
18 16 1361 1060 
29 17 279 1045 
29 3 1322 306 
7 7 287 213 
20 30 927 639 
25 24 419 261 
21 7 389 1031 
29 9 1559 130 
16 29 1779 843 
15 13 932 221 
7 1 1305 1097 
29 13 1458 444 
4 9 1526 163 
24 18 1228 470 
16 12 1122 102 
12 22 1164 644 
12 10 305 650 
14 22 304 495 
14 12 1204 215 
16 3 646 102 
3 9 1137 709 
18 24 1348 1085 
5 4 368 665 
17 23 278 498 
24 9 1661 224 
22 17 1580 899 
20 12 302 319 
6 8 1673 312 
8 16 1831 569 
10 20 519 436 
23 14 658 828 
6 19 1774 120 
19 14 512 772 
30 16 1667 548 
19 23 1113 988 
30 15 1357 328 
1 19 759 685 
8 28 1883 1040 
11 13 1110 287 
23 11 1021 926 
24 27 1352 107 
4 5 785 591 
27 26 1166 274 
11 8 1425 809 
26 10 1270 669 
7 2 587 1079 
6 21 1427 177 
23 17 1783 763 
5 29 1102 1051 
3 4 1986 885 
29 29 1319 878 
6 1 1024 937 
2 6 1758 1021 
30 8 1377 649 
20 19 660 745 
5 10 1669 1090 
8 27 850 152 
30 23 1736 278 
21 7 1179 119 
30 2 1471 927 
7 10 946 144 
9 2 1305 642 
20 11 255 694 
21 13 1757 606 
1 17 646 813 
1 21 2000 726 
20 11 1643 968 
12 1 1926 130 
10 4 1780 935 
27 16 1620 345 
27 8 918 567 
12 10 1847 1078 
27 19 1925 1091 
2 8 832 358 
19 9 1511 335 
10 3 912 834 
28 24 464 587 
1 27 1854 517 
4 4 696 805 
6 17 268 489 
5 6 1865 555 
14 21 250 930 
22 10 844 712 
5 1 1174 848 
16 23 1174 680 
20 12 1401 297 
8 23 1127 150 
9 24 458 747 
21 25 1544 770 
8 21 1729 144 
22 26 1172 311 
18 7 224 566 
30 29 1217 1015 
11 6 945 388 
29 30 1756 663 
15 5 1052 797 
21 15 836 100 
5 12 1768 851 
29 22 329 945 
29 25 460 476 
23 3 733 657 
9 8 423 944 
30 3 385 325 
7 17 1949 485 
23 4 633 125 
7 19 1865 204 
10 11 370 310 
5 5 308 1087 
7 2 233 562 
10 26 1433 695 
20 10 1364 390 
18 17 1907 947 
12 16 1337 495 
26 25 550 790 
6 17 1449 285 
13 8 262 798 
9 5 409 260 
22 22 1338 843 
23 24 567 506 
2 6 1821 968 
14 30 310 497 
17 5 777 1088 
21 3 245 392 
2 6 865 384 
2 30 1588 641 
14 29 961 794 
14 24 1372 951 
21 18 440 792 
10 18 1248 249 
22 10 1276 808 
4 15 1735 804 
12 3 704 190 
2 18 1870 446 
16 22 1446 267 
7 20 1036 946 
29 17 1392 971 
26 11 1881 697 
20 9 242 134 
24 11 1100 286 
13 10 1019 124 
27 6 1193 413 
19 17 506 1055 
28 23 591 665 
9 12 637 570 
22 26 426 627 
5 18 350 936 
20 22 1008 660 
1 17 1426 877 
15 4 548 960 
12 19 1064 849 
3 1 789 540 
12 5 403 849 
23 5 1494 366 
22 21 1992 642 
4 15 653 543 
2 26 1386 178 
21 8 862 939 
18 13 1014 113 
13 12 741 1012 
8 23 1162 714 
19 21 613 233 
11 17 436 290 
24 10 1832 385 
27 16 858 726 
15 11 1577 518 
24 27 1466 111 
30 8 1931 1081 
30 23 612 443 
5 30 1680 292 
9 24 1995 419 
25 13 350 702 
20 27 1471 508 
7 25 877 941 
21 28 1287 865 
5 19 1672 555 
11 8 772 118 
30 16 984 820 
1 26 659 665 
8 4 1380 956 
22 7 1187 425 
1 6 941 689 
25 17 1858 656 
5 25 869 393 
25 14 560 182 
29 28 611 749 
23 9 1868 583 
4 29 1993 259 
27 9 726 1100 
14 25 1893 897 
11 8 821 774 
3 30 1314 788 
13 19 1092 804 
16 12 1646 846 
12 15 1357 1062 
6 8 897 649 
17 6 1478 479 
1 27 1773 615 
5 5 281 428 
5 15 833 921 
25 20 663 857 
1 12 451 936 
19 9 1265 318 
8 24 326 156 
29 13 1945 777 
10 29 1746 151 
4 17 1708 889 
23 12 231 593 
1 5 1463 394 
9 29 377 694 
29 19 1894 471 
12 20 853 674 
25 7 348 897 
27 22 1715 854 
8 26 1777 363 
7 7 644 1040 
3 27 476 226 
17 30 881 551 
10 18 639 441 
30 3 1307 864 
1 20 238 519 
11 11 249 124 
6 2 1423 875 
8 9 1921 772 
27 6 786 427 
27 19 1756 598 
29 22 1328 1020 
25 23 540 273 
13 15 1129 910 
25 17 1593 904 
18 11 1655 657 
11 18 383 144 
15 8 1276 858 
19 21 778 145 
5 17 600 218 
9 10 1439 147 
16 5 954 1089 
21 8 559 439 
18 17 798 910 
4 25 1924 138 
3 22 1457 937 
4 27 1752 982 
13 4 1256 372 
5 27 1996 241 
23 9 1400 444 
16 21 576 613 
29 11 1923 500 
5 26 332 473 
9 22 1179 945 
10 9 1749 810 
4 23 1328 669 
19 21 1860 503 
29 9 522 588 
21 10 1182 980 
20 29 1499 330 
16 14 1019 141 
5 4 552 616 
12 1 1691 461 
23 15 1525 1049 
5 4 452 538 
4 13 939 860 
22 15 1729 466 
14 17 659 1062 
30 20 1187 969 
15 4 1879 846 
26 21 1694 223 
5 10 569 876 
5 19 302 395 
1 27 250 289 
3 7 1502 628 
15 22 1114 559 
4 5 838 601 
30 4 606 887 
24 1 1307 759 
3 17 627 233 
27 16 445 857 
4 9 1916 475 
8 19 1672 718 
10 12 1841 241 
8 22 827 508 
26 20 1216 437 
21 27 1306 109 
5 21 1850 802 
28 28 1672 488 
28 12 1846 850 
30 21 905 106 
25 30 294 112 
22 20 991 655 
10 23 1050 781 
19 11 1353 807 
23 26 569 1020 
15 25 1662 768 
29 21 1640 414 
11 11 1910 962 
11 19 1593 770 
8 29 1884 487 
21 20 1390 251 
1 5 991 634 
1 23 613 613 
9 26 216 332 
8 12 692 424 
22 1 1081 304 
19 5 755 143 
25 18 1370 196 
8 19 1973 600 
23 16 660 1085 
30 19 1248 434 
14 10 1713 1008 
13 9 621 351 
10 30 1427 174 
5 7 1702 762 
24 27 220 332 
15 28 1476 541 
14 14 1140 721 
2 5 1892 430 
6 18 1975 880 
26 13 644 163 
5 4 1050 983 
10 24 647 553 
20 19 1489 160 
16 18 1348 276 
23 30 1848 1057 
